agent_id,item_id,domain,subdomain,tier,n_reps,n_successes,s,y,total_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_latency_s,mean_latency_s,n_partial,n_fail,n_yes,n_no,n_null,n_empty_response,s_partial_weighted,grader_type
claude-opus-4-5,SOC-COP-4,SOC,COP,4,5,5,1.0,2,1340,716,0,23.907,4.781,0,0,0,0,0,0,1.0,
claude-opus-4-5,CM-REC-1,CM,REC,1,5,5,1.0,2,545,70,0,7.479,1.496,0,0,0,0,0,0,1.0,
claude-opus-4-5,AF-WMM-2,AF,WMM,1,5,5,1.0,2,610,445,0,11.021,2.204,0,0,0,0,0,0,1.0,
claude-opus-4-5,CM-EXP-4,CM,EXP,4,5,0,0.0,0,1080,4143,0,119.456,23.891,0,0,0,0,0,0,0.0,
claude-opus-4-5,CM-EXP-3,CM,EXP,1,5,5,1.0,2,375,214,0,12.244,2.449,0,0,0,0,0,0,1.0,
claude-opus-4-5,AF-TOL-1,AF,TOL,1,5,5,1.0,2,415,130,0,8.2,1.64,0,0,0,0,0,0,1.0,
claude-opus-4-5,DLS-DOM-2,DLS,DOM,2,5,5,1.0,2,280,614,0,21.9,4.38,0,0,0,0,0,0,1.0,
deepseek-r1,DLS-PER-3,DLS,PER,3,5,5,1.0,2,620,6602,3197,168.197,33.639,0,0,0,0,0,0,1.0,
deepseek-r1,DLS-PER-5,DLS,PER,5,5,5,1.0,2,1175,10806,7053,251.538,50.308,0,0,0,0,0,0,1.0,
deepseek-r1,SOC-IPR-4,SOC,IPR,4,5,5,1.0,2,1300,3404,1168,102.079,20.416,0,0,0,0,0,0,1.0,
deepseek-r1,CM-REC-4,CM,REC,4,5,0,0.0,0,1465,2831,2581,60.039,12.008,0,0,0,0,0,0,0.0,
deepseek-r1,AF-AFD-6,AF,AFD,5,5,5,1.0,2,1585,12709,10017,287.422,57.484,0,0,0,0,0,0,1.0,
deepseek-r1,SOC-COP-4,SOC,COP,4,5,5,1.0,2,1215,1266,838,45.693,9.139,0,0,0,0,0,0,1.0,
deepseek-r1,CM-REC-1,CM,REC,1,5,5,1.0,2,510,2781,2797,75.039,15.008,0,0,0,0,0,0,1.0,
deepseek-r1,AF-WMM-2,AF,WMM,1,5,5,1.0,2,545,1569,1222,47.405,9.481,0,0,0,0,0,0,1.0,
deepseek-r1,CM-EXP-4,CM,EXP,4,5,0,0.0,0,980,8403,6081,208.864,41.773,0,0,0,0,0,0,0.0,
deepseek-r1,CM-EXP-3,CM,EXP,1,5,5,1.0,2,280,1110,948,37.542,7.508,0,0,0,0,0,0,1.0,
deepseek-r1,AF-TOL-1,AF,TOL,1,5,5,1.0,2,395,2003,1843,55.378,11.076,0,0,0,0,0,0,1.0,
deepseek-r1,DLS-DOM-2,DLS,DOM,2,5,5,1.0,2,280,2523,2243,63.704,12.741,0,0,0,0,0,0,1.0,
mistral-7b-instruct-v0.1,CM-EXP-3,CM,EXP,1,4,4,1.0,2,340,248,0,22.061,4.412,0,0,0,0,1,0,1.0,
mistral-7b-instruct-v0.1,DLS-DOM-2,DLS,DOM,2,4,4,1.0,2,236,381,0,29.097,5.819,0,0,0,0,1,0,1.0,
mistral-7b-instruct-v0.1,CM-REC-4,CM,REC,4,4,0,0.0,0,1356,516,0,43.274,8.655,0,0,0,0,1,0,0.0,
mistral-7b-instruct-v0.1,CM-REC-1,CM,REC,1,4,4,1.0,2,480,124,0,12.18,2.436,0,0,0,0,1,0,1.0,
mistral-7b-instruct-v0.1,CM-EXP-4,CM,EXP,4,4,0,0.0,0,932,1915,0,145.135,29.027,0,0,0,0,1,0,0.0,
